Year,TechIPOs,TechPercent,OtherIPOs,OtherPercent
1980,25,0.88,46,0.7
1981,82,0.81,110,0.85
1982,44,0.82,33,0.79
1983,194,0.68,257,0.86
1984,52,0.81,121,0.84
1985,42,0.79,145,0.87
1986,102,0.64,291,0.84
1987,69,0.75,216,0.85
1988,30,0.74,72,0.87
1989,39,0.69,74,0.84
1990,35,0.83,75,0.87
1991,103,0.55,183,0.88
1992,146,0.54,266,0.8
1993,154,0.64,355,0.74
1994,137,0.63,266,0.8
1995,226,0.65,235,0.75
1996,321,0.43,355,0.74
1997,194,0.46,280,0.76
1998,125,0.37,156,0.69
1999,382,0.14,95,0.63
2000,317,0.13,64,0.5
2001,29,0.24,50,0.66
2002,25,0.42,41,0.63
2003,26,0.27,37,0.76
2004,91,0.32,82,0.7
2005,61,0.3,98,0.7
2006,72,0.36,85,0.8
2007,94,0.24,65,0.74
2008,7,0.57,14,0.57
2009,17,0.7,24,0.71
2010,44,0.48,47,0.71
2011,44,0.29,37,0.6
2012,49,0.35,44,0.75
2013,84,0.19,73,0.56
2014,127,0.11,79,0.57
